Date,Open,High,Low,Close,Volume
28/08/2025 15:30:00,967,972.2,955,957.8,25438255
29/08/2025 15:30:00,954,963.3,950.1,951.6,14823813
01/09/2025 15:30:00,949.6,957.45,946.35,950.6,20178344
02/09/2025 15:30:00,951,954.8,944,944.5,14196320
03/09/2025 15:30:00,945,956.3,940,954.45,16083481
04/09/2025 15:30:00,960.2,965.7,956.25,961.25,17597657
05/09/2025 15:30:00,967.5,967.5,954.05,963.4,11602111
08/09/2025 15:30:00,969,973.15,960.45,966,11711307
09/09/2025 15:30:00,974,974.4,962.7,965.15,13985539
10/09/2025 15:30:00,973.9,973.9,961.7,965.9,18091100
11/09/2025 15:30:00,960.3,969.25,959.9,967.8,15113633
12/09/2025 15:30:00,969.9,970.75,962.25,967.3,14363519
15/09/2025 15:30:00,969.6,972.35,965,967.05,14486377
16/09/2025 15:30:00,961.2,969.35,961.2,966.85,18661794
17/09/2025 15:30:00,965.15,974.4,964.35,966.5,17361476
18/09/2025 15:30:00,973.3,979.65,969.25,976.9,17791598
19/09/2025 15:30:00,974.9,976.7,962.1,966.9,31243267
22/09/2025 15:30:00,964,971.2,961.95,964.2,10854415
23/09/2025 15:30:00,967,968.2,955.5,957.2,21022298
24/09/2025 15:30:00,952.2,956.45,943,951.05,15117220
25/09/2025 15:30:00,952.5,958,947.4,949.85,31413279
26/09/2025 15:30:00,945.1,951.45,941.3,945.05,14874656
29/09/2025 15:30:00,946.05,956.8,939.1,950.3,32398179
30/09/2025 15:30:00,958.05,960,946.3,951,28296687
01/10/2025 15:30:00,952.7,969.6,946,965.25,25350832
03/10/2025 15:30:00,952,966.75,952,965.15,26658296
06/10/2025 15:30:00,971.9,977.4,962,973.45,18542683
07/10/2025 15:30:00,974,989.85,971,982.5,25535736
08/10/2025 15:30:00,976,985.9,974.55,978.7,15939710
09/10/2025 15:30:00,974.5,979,970.15,977.1,15370950
10/10/2025 15:30:00,979,986.2,978.1,980.9,13757080
13/10/2025 15:30:00,974.3,981,972,977,18634254
14/10/2025 15:30:00,970,980.45,967,977.15,22934382
15/10/2025 15:30:00,975,984.9,973.35,978.25,23310447
16/10/2025 15:30:00,982.65,996.6,981.5,994.35,22936566
17/10/2025 15:30:00,993.95,1009,986,1002.55,25210511
20/10/2025 15:30:00,997,1020,997,1002.95,22195202
21/10/2025 15:30:00,1006,1010,1004,1007.7,3471600
23/10/2025 15:30:00,1016,1020.5,1006,1008.8,43526526
24/10/2025 15:30:00,1011,1011.95,991.3,994.75,17707768
27/10/2025 15:30:00,996.5,1009.05,996.2,1002.95,15700796
28/10/2025 15:30:00,997.65,1008,995,1003.55,33904289
29/10/2025 15:30:00,1004.9,1012.5,1000,1007.85,17769445
30/10/2025 15:30:00,1000,1009.5,997.1,998.15,19962917
31/10/2025 15:30:00,994,1004.45,981.15,987.3,23221330
03/11/2025 15:30:00,985,994.55,983.3,992.65,16607180
04/11/2025 15:30:00,987,997,983.7,985.25,20024544
06/11/2025 15:30:00,981,991.05,974,984.65,22279516
07/11/2025 15:30:00,980,984.9,974.75,982.3,15004568
10/11/2025 15:30:00,982.3,990.95,980.2,984.5,15988262
11/11/2025 15:30:00,983.5,993.5,978,991.7,10200530
12/11/2025 15:30:00,998.8,999,987.7,989.5,13137263
13/11/2025 15:30:00,984,990.1,982.6,986.65,14124839
14/11/2025 15:30:00,976.05,991.65,976.05,989.6,21386965
17/11/2025 15:30:00,991.25,997.95,985.6,996.55,18396408
18/11/2025 15:30:00,997.65,999,990,992.45,20002640
19/11/2025 15:30:00,990,996.55,984,994.6,19813847
20/11/2025 15:30:00,995.3,1011.6,992.45,1008.85,19850865
21/11/2025 15:30:00,1003.1,1008.3,996.55,998.05,17499897
24/11/2025 15:30:00,1000,1011.45,993.6,999.15,32204053
25/11/2025 15:30:00,1004,1006.1,988.4,989.8,24989383
26/11/2025 15:30:00,981.3,1006.95,981.3,1003.9,19494356
27/11/2025 15:30:00,1002.1,1016.8,1001,1009.5,25536848
28/11/2025 15:30:00,1007,1012.05,1004.2,1007.6,15988807
01/12/2025 15:30:00,1017.5,1017.5,999.3,1002.1,16746566
02/12/2025 15:30:00,988,994.4,985,989.8,27316662
03/12/2025 15:30:00,986,1002.3,986,1000.5,15448777
04/12/2025 15:30:00,1000,1004.7,993,997.2,14528169
05/12/2025 15:30:00,992,1008,990.2,1003.3,12843366
08/12/2025 15:30:00,1000,1006.5,997.5,1003.1,12901022
09/12/2025 15:30:00,994.9,1002.8,994,997.1,15294322
10/12/2025 15:30:00,997.5,998.5,985.3,989.8,15322830
11/12/2025 15:30:00,990,1002.7,988.5,1000.3,11844809
12/12/2025 15:30:00,1003,1004.7,998.2,1001.5,11988618
15/12/2025 15:30:00,992,1001.8,992,996.1,9790060
16/12/2025 15:30:00,990.1,998.7,990.1,994.3,20049088
17/12/2025 15:30:00,996,996,980.8,984,19080922
18/12/2025 15:30:00,973.3,987.4,973.3,979.7,14912404
19/12/2025 15:30:00,987,988,978.7,985.5,25952384
22/12/2025 15:30:00,988,992.9,983.9,987.7,13540411
23/12/2025 15:30:00,990.5,998.9,987.7,996.6,17927849
24/12/2025 15:30:00,993,999.4,993,997.2,13699996
26/12/2025 15:30:00,996,997.2,987.7,992.1,9360853
29/12/2025 15:30:00,993.1,997.4,987.2,991.7,13545749
30/12/2025 15:30:00,990.2,995,982.2,990.9,33155849
31/12/2025 15:30:00,991,997.6,987.6,991.2,10963454
