Date,Open,High,Low,Close,Volume
28/08/2025 15:30:00,3145,3146.5,3086.5,3093.7,3116051
29/08/2025 15:30:00,3093,3115,3077.2,3084.7,2271789
01/09/2025 15:30:00,3090,3131.1,3090,3112.6,1246862
02/09/2025 15:30:00,3121.1,3155,3103.1,3111.5,2185229
03/09/2025 15:30:00,3129.9,3141.9,3088,3097.5,1799774
04/09/2025 15:30:00,3116,3118,3090.8,3095.7,1481391
05/09/2025 15:30:00,3097.1,3103.4,3028.6,3048.3,2802055
08/09/2025 15:30:00,3050,3064.9,3016,3019,2626187
09/09/2025 15:30:00,3032.1,3060,3030.8,3049.4,2489301
10/09/2025 15:30:00,3056.4,3122.7,3053.4,3110,2079428
11/09/2025 15:30:00,3139,3139,3110.1,3124.2,2263446
12/09/2025 15:30:00,3144,3148.7,3121,3133.4,1447167
15/09/2025 15:30:00,3134,3134,3096,3111.9,1732539
16/09/2025 15:30:00,3128,3150,3109.1,3145.7,2573429
17/09/2025 15:30:00,3152,3182.4,3142.4,3172.8,2418271
18/09/2025 15:30:00,3185,3203,3161.4,3176.7,2633138
19/09/2025 15:30:00,3170,3180.5,3144,3169.2,4901694
22/09/2025 15:30:00,3095,3106.9,3065,3073.8,3634901
23/09/2025 15:30:00,3070,3080.7,3052,3062.4,3177741
24/09/2025 15:30:00,3050,3057,3033,3035.4,1625714
25/09/2025 15:30:00,3022,3029.6,2951,2957.4,4974361
26/09/2025 15:30:00,2941,2954.8,2891.3,2899.1,3934636
29/09/2025 15:30:00,2916,2929.3,2894,2896.1,3110035
30/09/2025 15:30:00,2911,2915.3,2885.1,2888.4,2253458
01/10/2025 15:30:00,2891,2924.8,2866.6,2914.2,1952902
03/10/2025 15:30:00,2924,2924,2891.1,2901.9,2899519
06/10/2025 15:30:00,2902,2993.6,2895.6,2988.4,2112774
07/10/2025 15:30:00,2995,3004.5,2955.5,2973.7,3062943
08/10/2025 15:30:00,2975,3043,2968,3027.2,4121889
09/10/2025 15:30:00,3034,3066,3020,3061.7,3211304
10/10/2025 15:30:00,3050,3070,3006.9,3028.3,8817365
13/10/2025 15:30:00,3027,3035.5,2998.2,3007.2,2866865
14/10/2025 15:30:00,3021,3027.2,2955.5,2960.3,3611416
15/10/2025 15:30:00,2971,2979.7,2951,2969.8,4282226
16/10/2025 15:30:00,2969.9,2975,2943.1,2970.7,3251495
17/10/2025 15:30:00,2970,2988.8,2955.4,2962.2,4374683
20/10/2025 15:30:00,2985.5,3023,2978.5,3015.2,3133039
21/10/2025 15:30:00,3031.1,3031.8,2996,3006.7,310644
23/10/2025 15:30:00,3055,3098,3036.1,3073.2,5564758
24/10/2025 15:30:00,3080,3090,3058.3,3063.2,2684318
27/10/2025 15:30:00,3066.5,3094.2,3060.2,3084.9,1946312
28/10/2025 15:30:00,3076,3090.2,3040.2,3057.9,3470737
29/10/2025 15:30:00,3057.9,3076,3046.1,3057.6,2895420
30/10/2025 15:30:00,3049.1,3063.8,3032.8,3035.3,2241536
31/10/2025 15:30:00,3035,3067.4,3025.1,3058,1868085
03/11/2025 15:30:00,3046.9,3058,3010,3016.8,2194877
04/11/2025 15:30:00,3019.6,3029.3,2976,2990.2,2670720
06/11/2025 15:30:00,2990.1,3024,2990,3010.9,2542721
07/11/2025 15:30:00,3001,3004,2960.5,2991.8,1830520
10/11/2025 15:30:00,2993,3047.9,2992,3025.2,1556656
11/11/2025 15:30:00,3045,3055.7,3018,3047,2806868
12/11/2025 15:30:00,3060,3136.4,3057.1,3131.8,4460315
13/11/2025 15:30:00,3131.8,3131.9,3102,3105.7,1740435
14/11/2025 15:30:00,3090,3113.1,3077.3,3106,2210794
17/11/2025 15:30:00,3106,3123.5,3086.6,3102.2,2232853
18/11/2025 15:30:00,3102,3105,3078,3087.1,2548350
19/11/2025 15:30:00,3097,3155,3083.5,3147.7,3151053
20/11/2025 15:30:00,3148,3164.5,3138.1,3144.8,2700767
21/11/2025 15:30:00,3144.8,3170,3135.2,3150.6,4177037
24/11/2025 15:30:00,3158,3178.9,3131,3141.2,6703764
25/11/2025 15:30:00,3145.3,3149.8,3115,3119.2,2737920
26/11/2025 15:30:00,3118.8,3178,3117,3162.9,2508527
27/11/2025 15:30:00,3180,3180,3125,3136.6,2836233
28/11/2025 15:30:00,3140,3147.3,3125,3137.5,1616690
01/12/2025 15:30:00,3137.9,3154,3122.2,3133.4,1747647
